name;type;Category;power;accuracy;pp;priority
Pound;Normal;Physical;40.0;100.0;35;0
Karate Chop;Fighting;Physical;50.0;100.0;25;0
Double Slap;Normal;Physical;15.0;85.0;10;0
Comet Punch;Normal;Physical;18.0;85.0;15;0
Mega Punch;Normal;Physical;80.0;85.0;20;0
Pay Day;Normal;Physical;40.0;100.0;20;0
Fire Punch;Fire;Physical;75.0;100.0;15;0
Ice Punch;Ice;Physical;75.0;100.0;15;0
Thunder Punch;Electric;Physical;75.0;100.0;15;0
Scratch;Normal;Physical;40.0;100.0;35;0
Vice Grip;Normal;Physical;55.0;100.0;30;0
Razor Wind;Normal;Special;80.0;100.0;10;0
Cut;Normal;Physical;50.0;95.0;30;0
Gust;Flying;Special;40.0;100.0;35;0
Wing Attack;Flying;Physical;60.0;100.0;35;0
Fly;Flying;Physical;90.0;95.0;15;0
Bind;Normal;Physical;15.0;85.0;20;0
Slam;Normal;Physical;80.0;75.0;20;0
Vine Whip;Grass;Physical;45.0;100.0;25;0
Stomp;Normal;Physical;65.0;100.0;20;0
Double Kick;Fighting;Physical;30.0;100.0;30;0
Mega Kick;Normal;Physical;120.0;75.0;5;0
Jump Kick;Fighting;Physical;100.0;95.0;10;0
Rolling Kick;Fighting;Physical;60.0;85.0;15;0
Headbutt;Normal;Physical;70.0;100.0;15;0
Horn Attack;Normal;Physical;65.0;100.0;25;0
Fury Attack;Normal;Physical;15.0;85.0;20;0
Tackle;Normal;Physical;40.0;100.0;35;0
Body Slam;Normal;Physical;85.0;100.0;15;0
Wrap;Normal;Physical;15.0;90.0;20;0
Take Down;Normal;Physical;90.0;85.0;20;0
Thrash;Normal;Physical;120.0;100.0;10;0
Double Edge;Normal;Physical;120.0;100.0;15;0
Poison Sting;Poison;Physical;15.0;100.0;35;0
Twineedle;Bug;Physical;25.0;100.0;20;0
Pin Missile;Bug;Physical;25.0;95.0;20;0
Bite;Dark;Physical;60.0;100.0;25;0
Acid;Poison;Special;40.0;100.0;30;0
Ember;Fire;Special;40.0;100.0;25;0
Flamethrower;Fire;Special;90.0;100.0;15;0
Water Gun;Water;Special;40.0;100.0;25;0
Hydro Pump;Water;Special;110.0;80.0;5;0
Surf;Water;Special;90.0;100.0;15;0
Ice Beam;Ice;Special;90.0;100.0;10;0
Blizzard;Ice;Special;110.0;70.0;5;0
Psybeam;Psychic;Special;65.0;100.0;20;0
Bubble Beam;Water;Special;65.0;100.0;20;0
Aurora Beam;Ice;Special;65.0;100.0;20;0
Hyper Beam;Normal;Special;150.0;90.0;5;0
Peck;Flying;Physical;35.0;100.0;35;0
Drill Peck;Flying;Physical;80.0;100.0;20;0
Submission;Fighting;Physical;80.0;80.0;20;0
Strength;Normal;Physical;80.0;100.0;15;0
Absorb;Grass;Special;20.0;100.0;25;0
Mega Drain;Grass;Special;40.0;100.0;15;0
Razor Leaf;Grass;Physical;55.0;95.0;25;0
Solar Beam;Grass;Special;120.0;100.0;10;0
Petal Dance;Grass;Special;120.0;100.0;10;0
